SnapshotDateKey,DeviceID,BaselineCompliant,AVActive,FirewallEnabled,PasswordlessEnabled,AgentPresent,DriftCount,ComplianceStatus,SourceSystem,CollectedAt
20260101,DEV-00001,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,JAMF,2026-01-04
20260101,DEV-00002,TRUE,TRUE,TRUE,FALSE,TRUE,1,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00003,FALSE,TRUE,TRUE,TRUE,TRUE,0,Non-Compliant,MDM,2026-01-05
20260101,DEV-00004,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-02
20260101,DEV-00006,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,MDM,2026-01-01
20260101,DEV-00007,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00008,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,MDM,2026-01-04
20260101,DEV-00009,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,CrowdStrike,2026-01-02
20260101,DEV-00010,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,CrowdStrike,2026-01-03
20260101,DEV-00011,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-04
20260101,DEV-00012,TRUE,TRUE,TRUE,FALSE,TRUE,1,Compliant,JAMF,2026-01-01
20260101,DEV-00013,TRUE,TRUE,TRUE,TRUE,TRUE,3,Compliant,MDM,2026-01-03
20260101,DEV-00015,TRUE,FALSE,TRUE,FALSE,TRUE,2,Non-Compliant,Intune,2026-01-05
20260101,DEV-00016,FALSE,TRUE,TRUE,TRUE,TRUE,1,Non-Compliant,Intune,2026-01-04
20260101,DEV-00017,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00018,TRUE,TRUE,TRUE,TRUE,TRUE,3,Compliant,JAMF,2026-01-01
20260101,DEV-00019,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00021,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,MDM,2026-01-01
20260101,DEV-00022,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,JAMF,2026-01-05
20260101,DEV-00023,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,MDM,2026-01-04
20260101,DEV-00024,TRUE,FALSE,TRUE,TRUE,TRUE,2,Non-Compliant,CrowdStrike,2026-01-05
20260101,DEV-00025,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,Intune,2026-01-05
20260101,DEV-00026,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-03
20260101,DEV-00027,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,MDM,2026-01-02
20260101,DEV-00028,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,Intune,2026-01-03
20260101,DEV-00031,FALSE,TRUE,TRUE,FALSE,TRUE,2,Non-Compliant,Intune,2026-01-03
20260101,DEV-00032,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,Intune,2026-01-04
20260101,DEV-00033,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,Intune,2026-01-01
20260101,DEV-00034,FALSE,TRUE,TRUE,TRUE,TRUE,2,Non-Compliant,MDM,2026-01-05
20260101,DEV-00035,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,JAMF,2026-01-04
20260101,DEV-00036,FALSE,TRUE,TRUE,FALSE,TRUE,2,Non-Compliant,CrowdStrike,2026-01-02
20260101,DEV-00037,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,MDM,2026-01-02
20260101,DEV-00038,TRUE,TRUE,TRUE,FALSE,TRUE,3,Compliant,MDM,2026-01-03
20260101,DEV-00039,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00040,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,CrowdStrike,2026-01-03
20260101,DEV-00041,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-02
20260101,DEV-00042,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,MDM,2026-01-04
20260101,DEV-00044,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,JAMF,2026-01-04
20260101,DEV-00046,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,Intune,2026-01-04
20260101,DEV-00047,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,JAMF,2026-01-01
20260101,DEV-00048,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,MDM,2026-01-05
20260101,DEV-00049,FALSE,TRUE,TRUE,TRUE,TRUE,1,Non-Compliant,Intune,2026-01-02
20260101,DEV-00050,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00051,TRUE,TRUE,TRUE,FALSE,TRUE,2,Compliant,JAMF,2026-01-02
20260101,DEV-00052,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-02
20260101,DEV-00053,TRUE,TRUE,TRUE,FALSE,TRUE,1,Compliant,Intune,2026-01-01
20260101,DEV-00054,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,MDM,2026-01-04
20260101,DEV-00055,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,Intune,2026-01-03
20260101,DEV-00056,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,MDM,2026-01-01
20260101,DEV-00057,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00059,TRUE,TRUE,TRUE,FALSE,TRUE,1,Compliant,CrowdStrike,2026-01-01
20260101,DEV-00060,TRUE,TRUE,FALSE,TRUE,TRUE,0,Non-Compliant,Intune,2026-01-02
20260101,DEV-00061,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,JAMF,2026-01-05
20260101,DEV-00062,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,Intune,2026-01-05
20260101,DEV-00063,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,Intune,2026-01-03
20260101,DEV-00064,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,Intune,2026-01-03
20260101,DEV-00065,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,JAMF,2026-01-04
20260101,DEV-00066,FALSE,TRUE,TRUE,TRUE,TRUE,2,Non-Compliant,MDM,2026-01-04
20260101,DEV-00067,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,JAMF,2026-01-05
20260101,DEV-00068,TRUE,TRUE,TRUE,FALSE,TRUE,3,Compliant,Intune,2026-01-03
20260101,DEV-00069,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00070,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,MDM,2026-01-01
20260101,DEV-00071,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,MDM,2026-01-01
20260101,DEV-00072,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,CrowdStrike,2026-01-01
20260101,DEV-00073,TRUE,TRUE,TRUE,TRUE,TRUE,3,Compliant,Intune,2026-01-04
20260101,DEV-00074,TRUE,TRUE,FALSE,TRUE,TRUE,0,Non-Compliant,CrowdStrike,2026-01-01
20260101,DEV-00075,TRUE,TRUE,TRUE,FALSE,TRUE,3,Compliant,MDM,2026-01-02
20260101,DEV-00076,TRUE,FALSE,FALSE,TRUE,TRUE,1,Non-Compliant,JAMF,2026-01-04
20260101,DEV-00078,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-01
20260101,DEV-00079,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,JAMF,2026-01-02
20260101,DEV-00081,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-05
20260101,DEV-00082,TRUE,TRUE,TRUE,FALSE,TRUE,1,Compliant,Intune,2026-01-04
20260101,DEV-00083,FALSE,TRUE,TRUE,TRUE,TRUE,1,Non-Compliant,CrowdStrike,2026-01-02
20260101,DEV-00084,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,JAMF,2026-01-01
20260101,DEV-00085,TRUE,TRUE,FALSE,TRUE,TRUE,1,Non-Compliant,JAMF,2026-01-02
20260101,DEV-00086,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,MDM,2026-01-01
20260101,DEV-00087,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-05
20260101,DEV-00088,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,JAMF,2026-01-03
20260101,DEV-00089,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-03
20260101,DEV-00090,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,JAMF,2026-01-05
20260101,DEV-00091,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,Intune,2026-01-01
20260101,DEV-00092,TRUE,TRUE,FALSE,FALSE,TRUE,2,Non-Compliant,MDM,2026-01-04
20260101,DEV-00093,TRUE,TRUE,TRUE,FALSE,TRUE,1,Compliant,MDM,2026-01-05
20260101,DEV-00094,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,JAMF,2026-01-01
20260101,DEV-00096,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-02
20260101,DEV-00097,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,Intune,2026-01-02
20260101,DEV-00098,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-03
20260101,DEV-00099,FALSE,TRUE,TRUE,TRUE,TRUE,1,Non-Compliant,MDM,2026-01-01
20260101,DEV-00100,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,JAMF,2026-01-05
20260101,DEV-00101,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-03
20260101,DEV-00102,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,MDM,2026-01-03
20260101,DEV-00103,TRUE,TRUE,TRUE,FALSE,FALSE,0,Non-Compliant,CrowdStrike,2026-01-02
20260101,DEV-00104,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,MDM,2026-01-01
20260101,DEV-00105,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,MDM,2026-01-04
20260101,DEV-00106,TRUE,TRUE,TRUE,TRUE,TRUE,3,Compliant,Intune,2026-01-05
20260101,DEV-00107,TRUE,TRUE,TRUE,TRUE,TRUE,3,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00108,TRUE,TRUE,TRUE,FALSE,TRUE,2,Compliant,MDM,2026-01-05
20260101,DEV-00109,TRUE,TRUE,FALSE,TRUE,TRUE,0,Non-Compliant,CrowdStrike,2026-01-03
20260101,DEV-00111,TRUE,TRUE,TRUE,TRUE,TRUE,3,Compliant,CrowdStrike,2026-01-04
20260101,DEV-00112,TRUE,TRUE,TRUE,FALSE,TRUE,1,Compliant,Intune,2026-01-05
20260101,DEV-00113,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-02
20260101,DEV-00114,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,MDM,2026-01-03
20260101,DEV-00115,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,MDM,2026-01-02
20260101,DEV-00116,FALSE,TRUE,TRUE,TRUE,TRUE,3,Non-Compliant,CrowdStrike,2026-01-01
20260101,DEV-00117,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,CrowdStrike,2026-01-01
20260101,DEV-00118,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,JAMF,2026-01-03
20260101,DEV-00119,TRUE,TRUE,TRUE,TRUE,TRUE,2,Compliant,JAMF,2026-01-05
20260101,DEV-00120,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,MDM,2026-01-02
20260101,DEV-00121,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,MDM,2026-01-04
20260101,DEV-00122,TRUE,TRUE,TRUE,TRUE,TRUE,0,Compliant,MDM,2026-01-02
20260101,DEV-00123,TRUE,TRUE,TRUE,TRUE,TRUE,1,Compliant,CrowdStrike,2026-01-02
20260101,DEV-00124,TRUE,TRUE,TRUE,FALSE,TRUE,0,Compliant,CrowdStrike,2026-01-05
