intuneAppId,cleanTitle,cleanPublisher,displayVersion,platform,packagingStatus,isAssigned,assignmentCount,assignedIntents,msiProductCode,sizeFormatted,fileName,sourceSharePath,matchStatus,matchedModelId
92adf482-2b12-4bc0-8228-f17d011a5e62,-Application.exe,Microsoft,kb5050009,windows,Available,false,0,,,,Deploy-Application.intunewin,,UNMATCHED_NEW_MODEL,
616e52a1-38cd-4ff0-83cd-e9a78525c8db,.Net Data Provider For Teradata,Teradata,20.00.05,windows,Packaged & Ready,true,0,,{41C8ACC0-562C-4959-A51E-F73EA42668B7},20.67 MB,IntunePackage.intunewin,,MATCHED_BASE_MODEL,title_fe67c673a9163402ccf5
5be976e9-92dd-4ba4-8e83-a760354c495a,.NET Framework,Microsoft,4.8.1,windows,Packaged & Ready,true,0,,,74.26 MB,IntunePackage.intunewin,,UNMATCHED_NEW_MODEL,
2a2abdda-4a52-4900-8c8f-d15b6eac0661,.NET Framework,Microsoft,3.5.0,windows,Packaged & Ready,true,0,,,7.66 MB,Invoke-AppDeployToolkit.intunewin,\\I7WP2EM3DST0001.fead.one\ApplicationSource\Microsoft_.NETFramework_3.5,UNMATCHED_NEW_MODEL,
09631dd5-208c-4f96-9bba-a3838f6d55dc,.NET SDK Demo,IDTech,3.2.005,windows,Packaged & Ready,true,0,,{B98C5D91-4E73-4FDE-98F1-826971C86649},11.99 MB,Deploy-Application.intunewin,,MATCHED_BASE_MODEL,title_717975a9dbd86a8c03a8
1d659345-1652-4e2b-9640-84ec38f71b91,.Net Windows Server Hosting,Microsoft,8.0.18,windows,Packaged & Ready,true,0,,{97AF2C2F-0B86-4E97-81C0-A45058EAF38A},107.43 MB,IntunePackage.intunewin,,MATCHED_BASE_MODEL,title_c49e464a74f6cba21cce
135303cf-b1d7-4d7a-bccd-a596520f67a9,10-2025 Windows 11 24H2 Cumulative Update,Microsoft,Standard,windows,Packaged & Ready,false,0,,,3410.20 MB,Deploy-Application.intunewin,,UNMATCHED_NEW_MODEL,
68708f0c-63f5-47df-b7a3-5f462eff2e52,123Scan Utility,Zebra Technologies,6.00.0014,windows,Packaged & Ready,true,0,,{E41FB616-16CC-474A-B1ED-B671E3EB4748},538.83 MB,IntunePackage.intunewin,,UNMATCHED_NEW_MODEL,
e58cd2ed-d672-480b-b498-d85218fde9f1,1Password 8.12.34,AgileBits .,8.12.34,windows,Packaged & Ready,false,0,,,222.65 MB,PatchMyPC-ScriptRunner.intunewin,,UNMATCHED_NEW_MODEL,
b7268b71-4625-4595-946a-3f08e07c2758,1Password 8.12.36,AgileBits .,8.12.36,windows,Packaged & Ready,true,0,,,220.92 MB,PatchMyPC-ScriptRunner.intunewin,,UNMATCHED_NEW_MODEL,
af6f638b-bbc0-4dc5-9bf6-0fe722f8cd0b,2026 NA Verint Client Tools,Verint,15.2.11,windows,Packaged & Ready,true,0,,{2585BE62-B134-45F5-9F77-70023D0522F4},480.96 MB,Invoke-AppDeployToolkit.intunewin,\\I7WP2EM3DST0001.fead.one\ApplicationSource\Verient_NAClientTools_15.2.11_v1.0,MATCHED_BASE_MODEL,title_58bb689139d85be2e7e2
377a17bb-ff2f-4861-9edf-648875609381,3DxWare 10,3Dconnexion,10.8.17,windows,Packaged & Ready,true,0,,{A799FBA3-D508-49DB-9403-46DE93D1F302},247.15 MB,IntunePackage.intunewin,\\I7WP2EM3DST0001.fead.one\ApplicationSource\3Dconnexion_3DxWare_10.8.17.3666\,MATCHED_BASE_MODEL,title_ae9be1767e6f76433ea5
263ca996-2ce4-4555-a2af-a43dd3de3cfc,3T Software Labs Studio 3T -PMPCU,3T Software Labs,2026.13.1,windows,Packaged & Ready,true,0,,,297.87 MB,PatchMyPC-ScriptRunner.intunewin,,UNMATCHED_NEW_MODEL,
af766a71-769a-448d-98f6-e22da7c3c8ed,3T Software Labs Studio 3T -PMPCU,3T Software Labs,2026.13.0,windows,Packaged & Ready,false,0,,,297.86 MB,PatchMyPC-ScriptRunner.intunewin,,UNMATCHED_NEW_MODEL,
7e862dc8-e148-4101-927d-3c97d8f2d998,A-P-PR-Checkfree_to_FeadOne_Migration,Fiserv,1.0,windows,Packaged & Ready,true,0,,,1.99 MB,Deploy-Application.intunewin,,UNMATCHED_NEW_MODEL,
cfe462a8-061c-41d1-8580-c446fa8801a6,A-P-PR-Microsoft_365_Apps,Microsoft,Standard,windows,Packaged & Ready,true,0,,,,,,UNMATCHED_NEW_MODEL,
22452562-f799-4317-910f-06179935d3de,A-P-PR-Microsoft_Edge-Stable,Microsoft,Standard,windows,Packaged & Ready,true,0,,,,,,UNMATCHED_NEW_MODEL,
6e6bf71b-a519-4df1-b916-78f6f3e46146,A-P-PR-Windows-Bitlocker-PIN,Fiserv,1.0,windows,Packaged & Ready,false,0,,,0.14 MB,Set BitLocker Pin.intunewin,,UNMATCHED_NEW_MODEL,
04f71f49-a224-4658-883f-c448c2593185,A-P-SM-Fiserv-SCCM_FullClean,Fiserv,1.0,windows,Packaged & Ready,false,0,,,0.19 MB,Deploy-Application.intunewin,,UNMATCHED_NEW_MODEL,
ba62d2ed-b754-4849-a38a-f9ef6e2d18d6,A-P-SM-SCCM_Client_FEAD_FS1,Microsoft,CB 2203 MECM Client 5.00.9078.1006,windows,Packaged & Ready,false,0,,,405.66 MB,ccmsetup.intunewin,,UNMATCHED_NEW_MODEL,
3de2b6e5-ddc9-4e84-8eca-dcf5f76532c2,A-P-SM-SCCM_Client-FEAD,Microsoft,CB 2203 MECM Client 5.00.9078.1006,windows,Packaged & Ready,false,0,,,499.72 MB,ccmsetup.intunewin,,UNMATCHED_NEW_MODEL,
2f19d405-4917-4f22-8f79-d39450adb1e0,A-P-SS-CrowdStrike_6.38,CrowdStrike,6.38,windows,Packaged & Ready,false,0,,,87.93 MB,WindowsSensor.intunewin,,UNMATCHED_NEW_MODEL,
6c572ff1-37ea-4146-b849-951849dff42b,A-P-SS-MTR Background,Fiserv,1.0,windows,Packaged & Ready,true,0,,,1.49 MB,CopyBackGround.intunewin,,UNMATCHED_NEW_MODEL,
3f6a8d30-98f1-46ed-90b5-b78db9142123,A2iA CheckReader,MitekSystems,10.0.0,windows,Packaged & Ready,true,0,,,187.83 MB,IntunePackage.intunewin,,UNMATCHED_NEW_MODEL,
0540ce94-939e-47cd-8f44-7cb8013f318a,AbsoluteTelnet,Celestial Software,11.42,windows,Packaged & Ready,true,0,,,9.25 MB,IntunePackage.intunewin,\\I7WP2EM3DST0001.fead.one\ApplicationSource\Celestial_AbsoluteTelnetVersion11.42_11.42\,MATCHED_BASE_MODEL,title_029c4ba0f4eb5bdd0c1c
88f3df5c-1a42-4095-8b67-058c7de55247,Access Console,BeyondTrust,25.3.1,windows,Packaged & Ready,false,0,,,34.80 MB,Invoke-AppDeployToolkit.intunewin,\\I7WP2EM3DST0001.fead.one\ApplicationSource\BeyondTrustCorporation_AccessConsole,MATCHED_BASE_MODEL,title_0f4c902b36f2ebd5920b
